Messungen der Hall-Spannung/ Magnetfeldmessungen
9520           2.521                         0.608                              +11.0000E+00                  
9500           2.52097                       0.6082                             +11.0000E+00                  
9480           2.52105                       0.6083                             +11.0000E+00                  
9460           2.521                         0.6082                             +11.0000E+00                  
9440           2.52098                       0.6086                             +11.0000E+00                  
9420           2.52103                       0.6084                             +11.0000E+00                  
9400           2.52101                       0.6083                             +11.0000E+00                  
9380           2.52099                       0.6087                             +11.0000E+00                  
9360           2.52099                       0.6087                             +11.0000E+00                  
9340           2.52098                       0.6089                             +11.0000E+00                  
9320           2.521                         0.6089                             +11.0000E+00                  
9300           2.52097                       0.6092                             +11.0000E+00                  
9280           2.52097                       0.6091                             +11.0000E+00                  
9260           2.52095                       0.6091                             +11.0000E+00                  
9240           2.52099                       0.6093                             +11.0000E+00                  
9220           2.52106                       0.6095                             +11.0000E+00                  
9200           2.5211                        0.6095                             +11.0000E+00                  
9180           2.52098                       0.6096                             +11.0000E+00                  
9160           2.52101                       0.6096                             +11.0000E+00                  
9140           2.52097                       0.6099                             +11.0000E+00                  
9120           2.52099                       0.6098                             +11.0000E+00                  
9100           2.52105                       0.6099                             +11.0000E+00                  
9080           2.52103                       0.6042                             +10.9000E+00                  
9060           2.52102                       0.6046                             +10.9000E+00                  
9040           2.52105                       0.6045                             +10.9000E+00                  
9020           2.52102                       0.6043                             +10.9000E+00                  
9000           2.52105                       0.6047                             +10.9000E+00                  
8980           2.52099                       0.6048                             +10.9000E+00                  
8960           2.52102                       0.6045                             +10.9000E+00                  
8940           2.52102                       0.6048                             +10.9000E+00                  
8920           2.52099                       0.605                              +10.9000E+00                  
8900           2.52101                       0.605                              +10.9000E+00                  
8880           2.52101                       0.6051                             +10.9000E+00                  
8860           2.52102                       0.6053                             +10.9000E+00                  
8840           2.52106                       0.6054                             +10.9000E+00                  
8820           2.52108                       0.6052                             +10.9000E+00                  
8800           2.52105                       0.6054                             +10.9000E+00                  
8780           2.52111                       0.6056                             +10.9000E+00                  
8760           2.52109                       0.6058                             +10.9000E+00                  
8740           2.52105                       0.6059                             +10.9000E+00                  
8720           2.52115                       0.6059                             +10.9000E+00                  
8700           2.52107                       0.6059                             +10.9000E+00                  
8680           2.52111                       0.6062                             +10.9000E+00                  
8660           2.52108                       0.6061                             +10.9000E+00                  
8640           2.52107                       0.6064                             +10.9000E+00                  
8620           2.52107                       0.6063                             +10.9000E+00                  
8600           2.52104                       0.6063                             +10.9000E+00                  
8580           2.521                         0.6064                             +10.9000E+00                  
8560           2.52103                       0.6068                             +10.9000E+00                  
8540           2.52104                       0.6066                             +10.9000E+00                  
8520           2.52108                       0.6066                             +10.9000E+00                  
8500           2.52105                       0.6067                             +10.9000E+00                  
8480           2.52106                       0.6068                             +10.9000E+00                  
8460           2.52103                       0.6069                             +10.9000E+00                  
8440           2.52106                       0.6071                             +10.9000E+00                  
8420           2.52108                       0.6071                             +10.9000E+00                  
8400           2.52108                       0.6074                             +10.9000E+00                  
8380           2.52104                       0.6074                             +10.9000E+00                  
8360           2.52103                       0.6074                             +10.9000E+00                  
8340           2.52113                       0.6075                             +10.9000E+00                  
8320           2.52111                       0.6076                             +10.9000E+00                  
8300           2.52104                       0.6076                             +10.9000E+00                  
8280           2.52107                       0.6078                             +10.9000E+00                  
8260           2.52103                       0.6079                             +10.9000E+00                  
8240           2.52104                       0.6079                             +10.9000E+00                  
8220           2.52101                       0.608                              +10.9000E+00                  
8200           2.52107                       0.608                              +10.9000E+00                  
8180           2.52104                       0.6082                             +10.9000E+00                  
8160           2.52099                       0.6083                             +10.9000E+00                  
8140           2.52099                       0.6084                             +10.9000E+00                  
8120           2.521                         0.6084                             +10.9000E+00                  
8100           2.52099                       0.6085                             +10.9000E+00                  
8080           2.521                         0.6087                             +10.9000E+00                  
8060           2.52098                       0.6088                             +10.9000E+00                  
8040           2.52107                       0.6089                             +10.9000E+00                  
8020           2.52109                       0.6088                             +10.9000E+00                  
8000           2.52107                       0.609                              +10.9000E+00                  
7980           2.52109                       0.609                              +10.9000E+00                  
7960           2.52104                       0.6091                             +10.9000E+00                  
7940           2.52102                       0.6093                             +10.9000E+00                  
7920           2.52109                       0.6092                             +10.9000E+00                  
7900           2.52108                       0.6092                             +10.9000E+00                  
7880           2.52111                       0.6097                             +10.9000E+00                  
7860           2.52108                       0.6095                             +10.9000E+00                  
7840           2.52108                       0.6096                             +10.9000E+00                  
7820           2.52115                       0.6096                             +10.9000E+00                  
7800           2.52105                       0.6098                             +10.9000E+00                  
7780           2.52109                       0.6099                             +10.9000E+00                  
7760           2.52109                       0.6098                             +10.9000E+00                  
7740           2.52118                       0.6045                             +10.8000E+00                  
7720           2.52104                       0.6046                             +10.8000E+00                  
7700           2.5211                        0.6047                             +10.8000E+00                  
7680           2.52113                       0.6048                             +10.8000E+00                  
7660           2.52108                       0.6049                             +10.8000E+00                  
7640           2.52105                       0.6048                             +10.8000E+00                  
7620           2.52112                       0.6052                             +10.8000E+00                  
7600           2.52116                       0.6051                             +10.8000E+00                  
7580           2.52109                       0.6053                             +10.8000E+00                  
7560           2.52109                       0.6052                             +10.8000E+00                  
7540           2.521                         0.6055                             +10.8000E+00                  
7520           2.52113                       0.6055                             +10.8000E+00                  
7500           2.5212                        0.6054                             +10.8000E+00                  
7480           2.52109                       0.6056                             +10.8000E+00                  
7460           2.52107                       0.6056                             +10.8000E+00                  
7440           2.52106                       0.6057                             +10.8000E+00                  
7420           2.52113                       0.6057                             +10.8000E+00                  
7400           2.52111                       0.6058                             +10.8000E+00                  
7380           2.52116                       0.606                              +10.8000E+00                  
7360           2.52109                       0.606                              +10.8000E+00                  
7340           2.52117                       0.606                              +10.8000E+00                  
7320           2.52111                       0.6063                             +10.8000E+00                  
7300           2.52116                       0.6062                             +10.8000E+00                  
7280           2.52114                       0.6064                             +10.8000E+00                  
7260           2.52109                       0.6063                             +10.8000E+00                  
7240           2.52112                       0.6063                             +10.8000E+00                  
7220           2.52114                       0.6064                             +10.8000E+00                  
7200           2.52105                       0.6064                             +10.8000E+00                  
7180           2.52107                       0.6066                             +10.8000E+00                  
7160           2.52111                       0.6067                             +10.8000E+00                  
7140           2.52102                       0.6068                             +10.8000E+00                  
7120           2.52106                       0.6067                             +10.8000E+00                  
7100           2.52099                       0.6071                             +10.8000E+00                  
7080           2.52104                       0.6071                             +10.8000E+00                  
7060           2.52103                       0.6073                             +10.8000E+00                  
7040           2.52104                       0.6073                             +10.8000E+00                  
7020           2.52107                       0.6074                             +10.8000E+00                  
7000           2.52106                       0.6074                             +10.8000E+00                  
6980           2.521                         0.6074                             +10.8000E+00                  
6960           2.521                         0.6075                             +10.8000E+00                  
6940           2.52104                       0.6076                             +10.8000E+00                  
6920           2.52108                       0.6077                             +10.8000E+00                  
6900           2.52112                       0.6078                             +10.8000E+00                  
6880           2.52108                       0.6081                             +10.8000E+00                  
6860           2.52106                       0.6082                             +10.8000E+00                  
6840           2.52102                       0.6082                             +10.8000E+00                  
6820           2.52101                       0.6083                             +10.8000E+00                  
6800           2.52099                       0.6083                             +10.8000E+00                  
6780           2.52113                       0.6083                             +10.8000E+00                  
6760           2.52103                       0.6084                             +10.8000E+00                  
6740           2.52103                       0.6086                             +10.8000E+00                  
6720           2.52106                       0.6085                             +10.8000E+00                  
6700           2.52094                       0.6087                             +10.8000E+00                  
6680           2.52108                       0.6087                             +10.8000E+00                  
6660           2.52103                       0.6088                             +10.8000E+00                  
6640           2.52098                       0.609                              +10.8000E+00                  
6620           2.52101                       0.6089                             +10.8000E+00                  
6600           2.52101                       0.6091                             +10.8000E+00                  
6580           2.52101                       0.609                              +10.8000E+00                  
6560           2.521                         0.609                              +10.8000E+00                  
6540           2.52102                       0.609                              +10.8000E+00                  
6520           2.52095                       0.6092                             +10.8000E+00                  
6500           2.52095                       0.6093                             +10.8000E+00                  
6480           2.52091                       0.6093                             +10.8000E+00                  
6460           2.52105                       0.6095                             +10.8000E+00                  
6440           2.52104                       0.6096                             +10.8000E+00                  
6420           2.521                         0.6097                             +10.8000E+00                  
6400           2.52102                       0.6096                             +10.8000E+00                  
6380           2.52103                       0.6098                             +10.8000E+00                  
6360           2.521                         0.6099                             +10.8000E+00                  
6340           2.52105                       0.6099                             +10.8000E+00                  
6320           2.52101                       0.6099                             +10.8000E+00                  
6300           2.52108                       0.6044                             +10.7000E+00                  
6280           2.52104                       0.6044                             +10.7000E+00                  
6260           2.52107                       0.6044                             +10.7000E+00                  
6240           2.52096                       0.6046                             +10.7000E+00                  
6220           2.52094                       0.6047                             +10.7000E+00                  
6200           2.52101                       0.6047                             +10.7000E+00                  
6180           2.52104                       0.6046                             +10.7000E+00                  
6160           2.52114                       0.6048                             +10.7000E+00                  
6140           2.52109                       0.6047                             +10.7000E+00                  
6120           2.52107                       0.6048                             +10.7000E+00                  
6100           2.52103                       0.605                              +10.7000E+00                  
6080           2.52099                       0.6049                             +10.7000E+00                  
6060           2.52105                       0.6051                             +10.7000E+00                  
6040           2.52104                       0.6051                             +10.7000E+00                  
6020           2.52109                       0.6052                             +10.7000E+00                  
6000           2.52104                       0.6054                             +10.7000E+00                  
5980           2.52102                       0.6052                             +10.7000E+00                  
5960           2.521                         0.6053                             +10.7000E+00                  
5940           2.52099                       0.6055                             +10.7000E+00                  
5920           2.52091                       0.6055                             +10.7000E+00                  
5900           2.52096                       0.6055                             +10.7000E+00                  
5880           2.52099                       0.6058                             +10.7000E+00                  
5860           2.52096                       0.6058                             +10.7000E+00                  
5840           2.52098                       0.6057                             +10.7000E+00                  
5820           2.52091                       0.6059                             +10.7000E+00                  
5800           2.52093                       0.6061                             +10.7000E+00                  
5780           2.52095                       0.6061                             +10.7000E+00                  
5760           2.52103                       0.6062                             +10.7000E+00                  
5740           2.521                         0.6062                             +10.7000E+00                  
5720           2.52093                       0.6062                             +10.7000E+00                  
5700           2.52095                       0.6063                             +10.7000E+00                  
5680           2.52103                       0.6064                             +10.7000E+00                  
5660           2.52101                       0.6065                             +10.7000E+00                  
5640           2.52096                       0.6067                             +10.7000E+00                  
5620           2.52094                       0.6065                             +10.7000E+00                  
5600           2.52097                       0.6068                             +10.7000E+00                  
5580           2.52098                       0.6067                             +10.7000E+00                  
5560           2.521                         0.6069                             +10.7000E+00                  
5540           2.52098                       0.6069                             +10.7000E+00                  
5520           2.52101                       0.6068                             +10.7000E+00                  
5500           2.52096                       0.6068                             +10.7000E+00                  
5480           2.52095                       0.6069                             +10.7000E+00                  
5460           2.52096                       0.6071                             +10.7000E+00                  
5440           2.52097                       0.6073                             +10.7000E+00                  
5420           2.52091                       0.6073                             +10.7000E+00                  
5400           2.52094                       0.6073                             +10.7000E+00                  
5380           2.52103                       0.6075                             +10.7000E+00                  
5360           2.52098                       0.6073                             +10.7000E+00                  
5340           2.52096                       0.6075                             +10.7000E+00                  
5320           2.52091                       0.6077                             +10.7000E+00                  
5300           2.52095                       0.6076                             +10.7000E+00                  
5280           2.52098                       0.6077                             +10.7000E+00                  
5260           2.521                         0.6078                             +10.7000E+00                  
5240           2.52102                       0.6078                             +10.7000E+00                  
5220           2.52104                       0.6078                             +10.7000E+00                  
5200           2.52102                       0.608                              +10.7000E+00                  
5180           2.52103                       0.6079                             +10.7000E+00                  
5160           2.52102                       0.6082                             +10.7000E+00                  
5140           2.52096                       0.6082                             +10.7000E+00                  
5120           2.52098                       0.6082                             +10.7000E+00                  
5100           2.52097                       0.6083                             +10.7000E+00                  
5080           2.52098                       0.6083                             +10.7000E+00                  
5060           2.52103                       0.6083                             +10.7000E+00                  
5040           2.52101                       0.6083                             +10.7000E+00                  
5020           2.52094                       0.6084                             +10.7000E+00                  
5000           2.52092                       0.6085                             +10.7000E+00                  
4980           2.52093                       0.6085                             +10.7000E+00                  
4960           2.52089                       0.6086                             +10.7000E+00                  
4940           2.52097                       0.6085                             +10.7000E+00                  
4920           2.52107                       0.6087                             +10.7000E+00                  
4900           2.52093                       0.6088                             +10.7000E+00                  
4880           2.52101                       0.6088                             +10.7000E+00                  
4860           2.52093                       0.6088                             +10.7000E+00                  
4840           2.52092                       0.6089                             +10.7000E+00                  
4820           2.521                         0.6089                             +10.7000E+00                  
4800           2.52093                       0.6089                             +10.7000E+00                  
4780           2.52096                       0.6091                             +10.7000E+00                  
4760           2.52103                       0.6092                             +10.7000E+00                  
4740           2.52098                       0.6091                             +10.7000E+00                  
4720           2.521                         0.6093                             +10.7000E+00                  
4700           2.521                         0.6093                             +10.7000E+00                  
4680           2.52094                       0.6093                             +10.7000E+00                  
4660           2.521                         0.6094                             +10.7000E+00                  
4640           2.52102                       0.6094                             +10.7000E+00                  
4620           2.52107                       0.6094                             +10.7000E+00                  
4600           2.52099                       0.6094                             +10.7000E+00                  
4580           2.52104                       0.6096                             +10.7000E+00                  
4560           2.52097                       0.6095                             +10.7000E+00                  
4540           2.52103                       0.6098                             +10.7000E+00                  
4520           2.52107                       0.6097                             +10.7000E+00                  
4500           2.52096                       0.6099                             +10.7000E+00                  
4480           2.52098                       0.6099                             +10.7000E+00                  
4460           2.52104                       0.6023                             +10.6000E+00                  
4440           2.52106                       0.6024                             +10.6000E+00                  
4420           2.52107                       0.6024                             +10.6000E+00                  
4400           2.52101                       0.6026                             +10.6000E+00                  
4380           2.5211                        0.6024                             +10.6000E+00                  
4360           2.52104                       0.6027                             +10.6000E+00                  
4340           2.52107                       0.6026                             +10.6000E+00                  
4320           2.5211                        0.6027                             +10.6000E+00                  
4300           2.52103                       0.6028                             +10.6000E+00                  
4280           2.52106                       0.6029                             +10.6000E+00                  
4260           2.52097                       0.6028                             +10.6000E+00                  
4240           2.52098                       0.6028                             +10.6000E+00                  
4220           2.52098                       0.6031                             +10.6000E+00                  
4200           2.52106                       0.603                              +10.6000E+00                  
4180           2.52102                       0.6031                             +10.6000E+00                  
4160           2.52098                       0.6031                             +10.6000E+00                  
4140           2.52096                       0.6031                             +10.6000E+00                  
4120           2.52102                       0.6032                             +10.6000E+00                  
4100           2.52102                       0.6033                             +10.6000E+00                  
4080           2.52104                       0.6033                             +10.6000E+00                  
4060           2.52098                       0.6035                             +10.6000E+00                  
4040           2.52097                       0.6032                             +10.6000E+00                  
4020           2.52093                       0.6034                             +10.6000E+00                  
4000           2.52098                       0.6035                             +10.6000E+00                  
3980           2.521                         0.6035                             +10.6000E+00                  
3960           2.52094                       0.6037                             +10.6000E+00                  
3940           2.5209                        0.6038                             +10.6000E+00                  
3920           2.52103                       0.6039                             +10.6000E+00                  
3900           2.52095                       0.6038                             +10.6000E+00                  
3880           2.52093                       0.6038                             +10.6000E+00                  
3860           2.52093                       0.6039                             +10.6000E+00                  
3840           2.52095                       0.604                              +10.6000E+00                  
3820           2.52092                       0.6039                             +10.6000E+00                  
3800           2.52102                       0.6039                             +10.6000E+00                  
3780           2.52104                       0.6041                             +10.6000E+00                  
3760           2.52098                       0.6042                             +10.6000E+00                  
3740           2.52096                       0.6042                             +10.6000E+00                  
3720           2.52106                       0.6042                             +10.6000E+00                  
3700           2.521                         0.6041                             +10.6000E+00                  
3680           2.52102                       0.6044                             +10.6000E+00                  
3660           2.52094                       0.6043                             +10.6000E+00                  
3640           2.52099                       0.6044                             +10.6000E+00                  
3620           2.521                         0.6043                             +10.6000E+00                  
3600           2.52099                       0.6044                             +10.6000E+00                  
3580           2.52099                       0.6044                             +10.6000E+00                  
3560           2.52103                       0.6045                             +10.6000E+00                  
3540           2.52103                       0.6047                             +10.6000E+00                  
3520           2.52099                       0.6046                             +10.6000E+00                  
3500           2.52106                       0.6046                             +10.6000E+00                  
3480           2.52095                       0.6046                             +10.6000E+00                  
3460           2.521                         0.6047                             +10.6000E+00                  
3440           2.52098                       0.6047                             +10.6000E+00                  
3420           2.52109                       0.6048                             +10.6000E+00                  
3400           2.52099                       0.6047                             +10.6000E+00                  
3380           2.52096                       0.6049                             +10.6000E+00                  
3360           2.52096                       0.6049                             +10.6000E+00                  
3340           2.5209                        0.6052                             +10.6000E+00                  
3320           2.52107                       0.6051                             +10.6000E+00                  
3300           2.52097                       0.6051                             +10.6000E+00                  
3280           2.52097                       0.6052                             +10.6000E+00                  
3260           2.52092                       0.6053                             +10.6000E+00                  
3240           2.52096                       0.6052                             +10.6000E+00                  
3220           2.5209                        0.6051                             +10.6000E+00                  
3200           2.52092                       0.6053                             +10.6000E+00                  
3180           2.52099                       0.6052                             +10.6000E+00                  
3160           2.52085                       0.6052                             +10.6000E+00                  
3140           2.52096                       0.6053                             +10.6000E+00                  
3120           2.52092                       0.6054                             +10.6000E+00                  
3100           2.52092                       0.6054                             +10.6000E+00                  
3080           2.52104                       0.6055                             +10.6000E+00                  
3060           2.52099                       0.6055                             +10.6000E+00                  
3040           2.52102                       0.6055                             +10.6000E+00                  
3020           2.52098                       0.6056                             +10.6000E+00                  
3000           2.52092                       0.6055                             +10.6000E+00                  
2980           2.52088                       0.6057                             +10.6000E+00                  
2960           2.52096                       0.6057                             +10.6000E+00                  
2940           2.52094                       0.6059                             +10.6000E+00                  
2920           2.52097                       0.6059                             +10.6000E+00                  
2900           2.52094                       0.6059                             +10.6000E+00                  
2880           2.52101                       0.6059                             +10.6000E+00                  
2860           2.52087                       0.6059                             +10.6000E+00                  
2840           2.52088                       0.606                              +10.6000E+00                  
2820           2.52099                       0.606                              +10.6000E+00                  
2800           2.5209                        0.606                              +10.6000E+00                  
2780           2.52088                       0.606                              +10.6000E+00                  
2760           2.52092                       0.6059                             +10.6000E+00                  
2740           2.52088                       0.6061                             +10.6000E+00                  
2720           2.52095                       0.6062                             +10.6000E+00                  
2700           2.52094                       0.6061                             +10.6000E+00                  
2680           2.52089                       0.6063                             +10.6000E+00                  
2660           2.52098                       0.6063                             +10.6000E+00                  
2640           2.52093                       0.6062                             +10.6000E+00                  
2620           2.52104                       0.6063                             +10.6000E+00                  
2600           2.52093                       0.6063                             +10.6000E+00                  
2580           2.52103                       0.6063                             +10.6000E+00                  
2560           2.52098                       0.6064                             +10.6000E+00                  
2540           2.52102                       0.6064                             +10.6000E+00                  
2520           2.52092                       0.6064                             +10.6000E+00                  
2500           2.52091                       0.6064                             +10.6000E+00                  
2480           2.52104                       0.6065                             +10.6000E+00                  
2460           2.52094                       0.6066                             +10.6000E+00                  
2440           2.52092                       0.6067                             +10.6000E+00                  
2420           2.52092                       0.6067                             +10.6000E+00                  
2400           2.52093                       0.6067                             +10.6000E+00                  
2380           2.52086                       0.6066                             +10.6000E+00                  
2360           2.52095                       0.6067                             +10.6000E+00                  
2340           2.52103                       0.6068                             +10.6000E+00                  
2320           2.52086                       0.6068                             +10.6000E+00                  
2300           2.52089                       0.6067                             +10.6000E+00                  
2280           2.52089                       0.6067                             +10.6000E+00                  
2260           2.52103                       0.6069                             +10.6000E+00                  
2240           2.5209                        0.6068                             +10.6000E+00                  
2220           2.52103                       0.6069                             +10.6000E+00                  
2200           2.52093                       0.6068                             +10.6000E+00                  
2180           2.52081                       0.607                              +10.6000E+00                  
2160           2.52088                       0.607                              +10.6000E+00                  
2140           2.52101                       0.607                              +10.6000E+00                  
2120           2.52086                       0.6069                             +10.6000E+00                  
2100           2.52099                       0.607                              +10.6000E+00                  
2080           2.521                         0.6072                             +10.6000E+00                  
2060           2.52098                       0.6072                             +10.6000E+00                  
2040           2.52097                       0.6072                             +10.6000E+00                  
2020           2.52083                       0.6071                             +10.6000E+00                  
2000           2.52098                       0.6071                             +10.6000E+00                  
1980           2.52103                       0.6072                             +10.6000E+00                  
1960           2.52099                       0.6073                             +10.6000E+00                  
1940           2.52098                       0.6074                             +10.6000E+00                  
1920           2.52094                       0.6073                             +10.6000E+00                  
1900           2.52095                       0.6074                             +10.6000E+00                  
1880           2.5209                        0.6073                             +10.6000E+00                  
1860           2.52092                       0.6074                             +10.6000E+00                  
1840           2.52092                       0.6074                             +10.6000E+00                  
1820           2.5209                        0.6075                             +10.6000E+00                  
1800           2.52092                       0.6075                             +10.6000E+00                  
1780           2.52102                       0.6074                             +10.6000E+00                  
1760           2.52084                       0.6075                             +10.6000E+00                  
1740           2.52091                       0.6075                             +10.6000E+00                  
1720           2.52109                       0.6076                             +10.6000E+00                  
1700           2.52099                       0.6077                             +10.6000E+00                  
1680           2.52079                       0.6076                             +10.6000E+00                  
1660           2.52093                       0.6077                             +10.6000E+00                  
1640           2.52102                       0.6075                             +10.6000E+00                  
1620           2.52099                       0.6076                             +10.6000E+00                  
1600           2.5209                        0.6076                             +10.6000E+00                  
1580           2.52074                       0.6077                             +10.6000E+00                  
1560           2.52091                       0.6077                             +10.6000E+00                  
1540           2.52086                       0.6077                             +10.6000E+00                  
1520           2.52099                       0.6077                             +10.6000E+00                  
1500           2.52094                       0.6077                             +10.6000E+00                  
1480           2.52085                       0.6077                             +10.6000E+00                  
1460           2.52113                       0.6078                             +10.6000E+00                  
1440           2.52108                       0.6078                             +10.6000E+00                  
1420           2.52099                       0.6077                             +10.6000E+00                  
1400           2.52102                       0.6079                             +10.6000E+00                  
1380           2.52104                       0.6079                             +10.6000E+00                  
1360           2.52095                       0.6078                             +10.6000E+00                  
1340           2.52111                       0.6078                             +10.6000E+00                  
1320           2.52089                       0.6078                             +10.6000E+00                  
1300           2.52093                       0.6078                             +10.6000E+00                  
1280           2.5208                        0.6079                             +10.6000E+00                  
1260           2.52081                       0.608                              +10.6000E+00                  
1240           2.52098                       0.6079                             +10.6000E+00                  
1220           2.52084                       0.6079                             +10.6000E+00                  
1200           2.52094                       0.608                              +10.6000E+00                  
1180           2.5211                        0.6079                             +10.6000E+00                  
1160           2.52087                       0.608                              +10.6000E+00                  
1140           2.521                         0.6079                             +10.6000E+00                  
1120           2.52096                       0.6079                             +10.6000E+00                  
1100           2.52095                       0.608                              +10.6000E+00                  
1080           2.52078                       0.608                              +10.6000E+00                  
1060           2.5208                        0.608                              +10.6000E+00                  
1040           2.52093                       0.608                              +10.6000E+00                  
1020           2.52112                       0.6081                             +10.6000E+00                  
1000           2.52095                       0.608                              +10.6000E+00                  
980            2.52114                       0.608                              +10.6000E+00                  
960            2.52103                       0.608                              +10.6000E+00                  
940            2.52074                       0.6081                             +10.6000E+00                  
920            2.52104                       0.608                              +10.6000E+00                  
900            2.52088                       0.608                              +10.6000E+00                  
880            2.52068                       0.6079                             +10.6000E+00                  
860            2.52104                       0.608                              +10.6000E+00                  
840            2.52079                       0.608                              +10.6000E+00                  
820            2.52096                       0.6081                             +10.6000E+00                  
800            2.52095                       0.608                              +10.6000E+00                  
780            2.52067                       0.608                              +10.6000E+00                  
760            2.52105                       0.6081                             +10.6000E+00                  
740            2.52099                       0.6081                             +10.6000E+00                  
720            2.52103                       0.608                              +10.6000E+00                  
700            2.521                         0.6081                             +10.6000E+00                  
680            2.52125                       0.6081                             +10.6000E+00                  
660            2.52081                       0.608                              +10.6000E+00                  
640            2.5211                        0.6081                             +10.6000E+00                  
620            2.52081                       0.6081                             +10.6000E+00                  
600            2.52102                       0.6081                             +10.6000E+00                  
580            2.5212                        0.6081                             +10.6000E+00                  
560            2.52118                       0.6081                             +10.6000E+00                  
540            2.52089                       0.6081                             +10.6000E+00                  
520            2.52141                       0.6081                             +10.6000E+00                  
500            2.52101                       0.608                              +10.6000E+00                  
480            2.52125                       0.6081                             +10.6000E+00                  
460            2.52066                       0.608                              +10.6000E+00                  
440            2.52093                       0.608                              +10.6000E+00                  
420            2.52068                       0.608                              +10.6000E+00                  
400            2.52102                       0.608                              +10.6000E+00                  
380            2.52133                       0.6079                             +10.6000E+00                  
360            2.52066                       0.608                              +10.6000E+00                  
340            2.52127                       0.6079                             +10.6000E+00                  
320            2.52084                       0.6078                             +10.6000E+00                  
300            2.52096                       0.6079                             +10.6000E+00                  
280            2.52061                       0.6079                             +10.6000E+00                  
260            2.5214                        0.6079                             +10.6000E+00                  
240            2.52145                       0.6077                             +10.6000E+00                  
220            2.52184                       0.6076                             +10.6000E+00                  
200            2.52095                       0.6075                             +10.6000E+00                  
180            2.52069                       0.6074                             +10.6000E+00                  
160            2.52039                       0.6072                             +10.6000E+00                  
140            2.52035                       0.6069                             +10.6000E+00                  
120            2.5215                        0.6067                             +10.6000E+00                  
100            2.52095                       0.6064                             +10.6000E+00                  
80             2.5191                        0.6059                             +10.6000E+00                  
60             2.51969                       0.6061                             +10.6000E+00                  
40             2.51858                       0.6064                             +10.6000E+00                  
20             2.51779                       0.607                              +10.6000E+00                  
